Timestamp,Город или область где вы живете / Yashayotgan shaharingiz yoki viloyat,Возраст / Yoshingiz,Пол / Jinsingiz,Уровень английского / Ingliz tilini bilishingiz darajasi,Образование / Maʼlumotingiz,Должность / Lavozim,Уровень / Daraja,Язык программирования и технологии используемые на работе / Ish jarayonida ishlatiladigan dasturlash tili yoki texnologiyalar,Общий опыт работы (в годах) / Umumiy tajribangiz (yillarda),Опыт работы на текущем месте (в годах) / Joriy ish joyingizdagi tajribangiz (yillarda),Главный офис компании находится в / Kompaniyaning bosh ofisi qayerda?,Тип компании / Kompaniyaning yoʻnalishi yoki turi,Размер компании / Kompaniya hajmi,Работаю / Ishlayman,Компания предлагает / Kompaniya quyidagi qoʻshimchalarni beradi,Получаю зарплату / Maosh olaman,Зарплата в месяц / Oylik maosh,На сколько изменилась зарплата за 12 месяцев / Soʻnggi 12 oy ichida maoshingiz qanchaga oʻzgardi?,Оставьте ваш фидбек и комментарии / Fikringiz va izohingizni qoldiring
2/13/2020 12:50:11,Ташкент / Toshkent shahri,35,Мужской / Erkak,Beginner (ниже среднего / oʻrtadan past),Среднее / Oʻrta,Designer,Lead,,>10,1-3,Российская Федерация / Rossiya Federatsiyasi,Outsourcing,до 50 человек / 50 kishigacha,удаленно / masofadan (remote),,в долларах США / AQSh dollarida,6000,,
2/11/2020 20:40:18,Ташкент / Toshkent shahri,30,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,Designer,Senior,,5-7,1-3,США / AQSh,Outsourcing,до 200 человек / 200 kishigacha,удаленно / masofadan (remote),"Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Возможность удалённой работы / Masofadan ishlash imkoniyati, Компенсация затрат на спорт (фитнес, бассейн) / Sportga chiqimlar qoplanadi (fitnes, basseyn), Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi, Возможность переезда в другой город или страну / Boshqa shahar yoki davlatga koʻchish uchun yordam beriladi",в долларах США / AQSh dollarida,3500,,
2/14/2020 20:53:33,Ташкент / Toshkent shahri,30,Мужской / Erkak,Intermediate (средний / oʻrtacha),Незаконченное высшее / Yakunlanmagan oliy,Designer,Senior,,3-5,1-3,Узбекистан / Oʻzbekiston,Outsourcing,до 10 человек / 10 kishigacha,в офисе / ofisda,,в сумах / soʻmda,15000000,,
2/20/2020 16:17:23,Ташкент / Toshkent shahri,26,Мужской / Erkak,Intermediate (средний / oʻrtacha),Высшее / Oliy,DevOps Engineer,Senior,,3-5,<1,Европа / Yevropa,Outsourcing,до 50 человек / 50 kishigacha,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Возможность удалённой работы / Masofadan ishlash imkoniyati",в долларах США / AQSh dollarida,1000,300,
2/11/2020 12:07:42,Самаркандская область / Samarqand viloyati,26,Мужской / Erkak,Intermediate (средний / oʻrtacha),Высшее / Oliy,DevOps Engineer,Middle,,7-10,1-3,Российская Федерация / Rossiya Federatsiyasi,Outsourcing,до 50 человек / 50 kishigacha,удаленно / masofadan (remote),Возможность удалённой работы / Masofadan ishlash imkoniyati,в долларах США / AQSh dollarida,1000,300,
2/11/2020 16:12:06,Джизакская область / Jizzax viloyati,25,Мужской / Erkak,Beginner (ниже среднего / oʻrtadan past),Незаконченное высшее / Yakunlanmagan oliy,Product Manager,Middle,,1-3,1-3,Российская Федерация / Rossiya Federatsiyasi,Outsourcing,до 50 человек / 50 kishigacha,удаленно / masofadan (remote),Возможность удалённой работы / Masofadan ishlash imkoniyati,в долларах США / AQSh dollarida,400,300,
2/11/2020 22:56:50,Ташкент / Toshkent shahri,23,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,Project Manager,Middle,,5-7,1-3,Европа / Yevropa,Outsourcing,до 50 человек / 50 kishigacha,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Возможность удалённой работы / Masofadan ishlash imkoniyati",в долларах США / AQSh dollarida,1100,500,
2/11/2020 20:17:34,Ташкент / Toshkent shahri,24,Мужской / Erkak,Upper Intermediate (выше среднего / oʻrtadan yuqori),Незаконченное высшее / Yakunlanmagan oliy,Project Manager,Middle,,3-5,<1,США / AQSh,Outsourcing,до 50 человек / 50 kishigacha,удаленно / masofadan (remote),"Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Возможность удалённой работы / Masofadan ishlash imkoniyati, Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi",в долларах США / AQSh dollarida,1200,1200,
2/11/2020 15:25:40,Ташкент / Toshkent shahri,27,Мужской / Erkak,Intermediate (средний / oʻrtacha),Высшее / Oliy,Project Manager,Middle,,5-7,<1,Узбекистан / Oʻzbekiston,Outsourcing,до 50 человек / 50 kishigacha,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Возможность удалённой работы / Masofadan ishlash imkoniyati",в сумах / soʻmda,15000000,,
2/11/2020 17:04:01,Ташкент / Toshkent shahri,23,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,QA Engineer,Middle,"PHP, Frontend Development (JavaScript, TypeScript), Web (HTML/CSS)",1-3,1-3,Малайзия / Malaysia,Outsourcing,до 50 человек / 50 kishigacha,в офисе / ofisda,Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi,в долларах США / AQSh dollarida,350,0,I filled up the form based on my job experience which I quitted recently because they refused to pay me the amount I requested.They underestimate QA Engineers and testers in most software companies in Uzbekistan which is why the quality of software products are low.
2/11/2020 12:06:33,Ташкент / Toshkent shahri,33,Мужской / Erkak,Beginner (ниже среднего / oʻrtadan past),Колледж / Kollej,QA Engineer,Junior,"PHP, SQL/PL-SQL, Frontend Development (JavaScript, TypeScript), Web (HTML/CSS)",1-3,<1,Узбекистан / Oʻzbekiston,Outsourcing,до 10 человек / 10 kishigacha,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi)",в сумах / soʻmda,3000000,500000,
2/11/2020 14:31:42,Ташкент / Toshkent shahri,23,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,QA Engineer,Junior,"SQL/PL-SQL, Web (HTML/CSS), Python, selenium",1-3,<1,Узбекистан / Oʻzbekiston,Outsourcing,до 10 человек / 10 kishigacha,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi",в долларах США / AQSh dollarida,600,200,
2/11/2020 19:12:00,Ташкентская область / Toshkent viloyati,25,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,Software Engineer,Middle,"C#/.NET, SQL/PL-SQL, Frontend Development (JavaScript, TypeScript), Web (HTML/CSS)",3-5,1-3,Израиль / Isroil,Outsourcing,до 10 человек / 10 kishigacha,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi",в долларах США / AQSh dollarida,900,100,
2/11/2020 10:56:22,Ташкент / Toshkent shahri,32,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,Software Engineer,Middle,"PHP, Web (HTML/CSS)",5-7,1-3,Европа / Yevropa,Outsourcing,до 50 человек / 50 kishigacha,удаленно / masofadan (remote),Возможность удалённой работы / Masofadan ishlash imkoniyati,в долларах США / AQSh dollarida,1500,0,
2/11/2020 11:43:09,Ташкент / Toshkent shahri,24,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,Software Engineer,Middle,Java/Scala,3-5,<1,Европа / Yevropa,Outsourcing,до 1000 человек / 1000 kishigacha,удаленно / masofadan (remote),"Возможность удалённой работы / Masofadan ishlash imkoniyati, Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi, Возможность переезда в другой город или страну / Boshqa shahar yoki davlatga koʻchish uchun yordam beriladi",в долларах США / AQSh dollarida,3000,,
2/11/2020 13:51:28,Хорезмская область / Xorazm viloyati,35,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,Software Engineer,Lead,"Java/Scala, Frontend Development (JavaScript, TypeScript)",>10,3-5,Европа / Yevropa,Outsourcing,до 50 человек / 50 kishigacha,удаленно / masofadan (remote),Возможность переезда в другой город или страну / Boshqa shahar yoki davlatga koʻchish uchun yordam beriladi,в долларах США / AQSh dollarida,3000,600,
2/11/2020 14:36:58,Ташкент / Toshkent shahri,22,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,Software Engineer,Middle,Java/Scala,1-3,<1,Европа / Yevropa,Outsourcing,до 200 человек / 200 kishigacha,в офисе / ofisda,,в сумах / soʻmda,8595000,2.5,
2/11/2020 16:20:31,Ташкент / Toshkent shahri,33,Мужской / Erkak,Intermediate (средний / oʻrtacha),Высшее / Oliy,Software Engineer,Senior,"Frontend Development (JavaScript, TypeScript), Web (HTML/CSS), cordova, ionic",7-10,7-10,Российская Федерация / Rossiya Federatsiyasi,Outsourcing,до 200 человек / 200 kishigacha,в офисе / ofisda,"Питание в офисе (обеды) / Ofisda (tekinga) ovqatlanish (tushlik), Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Возможность удалённой работы / Masofadan ishlash imkoniyati, Компенсация проезда или затрат на бензин / Yoʻlkira haqi qoplanadi: ommaviy transport yoki benzin, Компенсация затрат на спорт (фитнес, бассейн) / Sportga chiqimlar qoplanadi (fitnes, basseyn), Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi, Акции, опционы (equity) / Aksiya yoki opsionlar beriladi",в долларах США / AQSh dollarida,2000,200,На сколько изменилась зарплата - не понятно как поставить ответ на 10%
2/12/2020 12:40:17,Ташкент / Toshkent shahri,23,Мужской / Erkak,Upper Intermediate (выше среднего / oʻrtadan yuqori),Высшее / Oliy,Software Engineer,Junior,1c,1-3,<1,Российская Федерация / Rossiya Federatsiyasi,Outsourcing,до 200 человек / 200 kishigacha,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Возможность удалённой работы / Masofadan ishlash imkoniyati, Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi, Акции, опционы (equity) / Aksiya yoki opsionlar beriladi, Возможность переезда в другой город или страну / Boshqa shahar yoki davlatga koʻchish uchun yordam beriladi",в долларах США / AQSh dollarida,300,4,
2/11/2020 11:12:46,Хорезмская область / Xorazm viloyati,35,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,Software Engineer,Senior,"PHP, Java/Scala, SQL/PL-SQL, Web (HTML/CSS)",>10,3-5,США / AQSh,Outsourcing,свыше 1000 человек / 1000 dan ortiq odam,удаленно / masofadan (remote),Возможность удалённой работы / Masofadan ishlash imkoniyati,в долларах США / AQSh dollarida,5000,2500,
2/11/2020 11:16:55,Ташкент / Toshkent shahri,29,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,Software Engineer,Senior,Java/Scala,3-5,<1,США / AQSh,Outsourcing,свыше 1000 человек / 1000 dan ortiq odam,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Возможность удалённой работы / Masofadan ishlash imkoniyati, Компенсация затрат на спорт (фитнес, бассейн) / Sportga chiqimlar qoplanadi (fitnes, basseyn)",в долларах США / AQSh dollarida,2500,500,
2/11/2020 11:18:47,Ташкент / Toshkent shahri,29,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,Software Engineer,Senior,Java/Scala,3-5,<1,США / AQSh,Outsourcing,свыше 1000 человек / 1000 dan ortiq odam,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Возможность удалённой работы / Masofadan ishlash imkoniyati, Компенсация затрат на спорт (фитнес, бассейн) / Sportga chiqimlar qoplanadi (fitnes, basseyn), Возможность переезда в другой город или страну / Boshqa shahar yoki davlatga koʻchish uchun yordam beriladi",в долларах США / AQSh dollarida,2500,500,
2/11/2020 11:26:56,Ташкент / Toshkent shahri,25,Мужской / Erkak,Advanced (продвинутый / yuqori),Незаконченное высшее / Yakunlanmagan oliy,Software Engineer,Middle,"C#/.NET, SQL/PL-SQL, Frontend Development (JavaScript, TypeScript), Web (HTML/CSS), Python, C++",5-7,<1,США / AQSh,Outsourcing,свыше 1000 человек / 1000 dan ortiq odam,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Возможность удалённой работы / Masofadan ishlash imkoniyati, Возможность переезда в другой город или страну / Boshqa shahar yoki davlatga koʻchish uchun yordam beriladi",в сумах / soʻmda,19000000,0,
2/11/2020 11:34:04,Наманганская область / Namangan viloyati,26,Мужской / Erkak,Upper Intermediate (выше среднего / oʻrtadan yuqori),Высшее / Oliy,Software Engineer,Middle,"C#/.NET, SQL/PL-SQL, Frontend Development (JavaScript, TypeScript), Web (HTML/CSS), Vue.js, Amazon Web services",1-3,1-3,США / AQSh,Outsourcing,до 50 человек / 50 kishigacha,удаленно / masofadan (remote),Возможность удалённой работы / Masofadan ishlash imkoniyati,в сумах / soʻmda,16000000,1000000,
2/11/2020 11:53:06,Ташкент / Toshkent shahri,35,Женской / Ayol,Upper Intermediate (выше среднего / oʻrtadan yuqori),Высшее / Oliy,Software Engineer,Senior,"PHP, Frontend Development (JavaScript, TypeScript), Web (HTML/CSS)",>10,5-7,США / AQSh,Outsourcing,свыше 1000 человек / 1000 dan ortiq odam,удаленно / masofadan (remote),Возможность удалённой работы / Masofadan ishlash imkoniyati,в долларах США / AQSh dollarida,6800,1000,"Работодатели в США не только хорошо платят но ещё ценят твою работу, благодарят за неё (appreciate)"
2/11/2020 18:19:06,Ташкент / Toshkent shahri,19,Мужской / Erkak,Advanced (продвинутый / yuqori),Незаконченное высшее / Yakunlanmagan oliy,Software Engineer,Middle,"C#/.NET, Ruby, SQL/PL-SQL, Frontend Development (JavaScript, TypeScript), Web (HTML/CSS), Python, Embarcadero Delphi",3-5,1-3,США / AQSh,Outsourcing,до 10 человек / 10 kishigacha,удаленно / masofadan (remote),"Возможность удалённой работы / Masofadan ishlash imkoniyati, Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi",в долларах США / AQSh dollarida,1500,1000,
2/12/2020 8:48:01,Хорезмская область / Xorazm viloyati,25,Мужской / Erkak,Intermediate (средний / oʻrtacha),Высшее / Oliy,Software Engineer,Middle,"Java/Scala, Frontend Development (JavaScript, TypeScript), Web (HTML/CSS)",1-3,1-3,США / AQSh,Outsourcing,до 10 человек / 10 kishigacha,удаленно / masofadan (remote),"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Возможность удалённой работы / Masofadan ishlash imkoniyati",в сумах / soʻmda,6500000,2000000,отлтчная работа
2/12/2020 23:30:50,Ташкент / Toshkent shahri,34,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,Software Engineer,Senior,"C#/.NET, SQL/PL-SQL, Frontend Development (JavaScript, TypeScript), Web (HTML/CSS)",>10,1-3,США / AQSh,Outsourcing,свыше 1000 человек / 1000 dan ortiq odam,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Возможность удалённой работы / Masofadan ishlash imkoniyati, Возможность переезда в другой город или страну / Boshqa shahar yoki davlatga koʻchish uchun yordam beriladi",в долларах США / AQSh dollarida,2200,200,
2/14/2020 10:19:12,Ташкент / Toshkent shahri,32,Мужской / Erkak,Upper Intermediate (выше среднего / oʻrtadan yuqori),Высшее / Oliy,Software Engineer,Middle,Java/Scala,7-10,<1,США / AQSh,Outsourcing,свыше 1000 человек / 1000 dan ortiq odam,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Возможность удалённой работы / Masofadan ishlash imkoniyati, Возможность переезда в другой город или страну / Boshqa shahar yoki davlatga koʻchish uchun yordam beriladi",в сумах / soʻmda,14200000,5400000,
2/11/2020 11:03:01,Ташкент / Toshkent shahri,23,Мужской / Erkak,Intermediate (средний / oʻrtacha),Колледж / Kollej,Software Engineer,Senior,Python,3-5,1-3,Узбекистан / Oʻzbekiston,Outsourcing,до 50 человек / 50 kishigacha,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye",в долларах США / AQSh dollarida,1200,300,
2/11/2020 11:07:48,Ташкент / Toshkent shahri,26,Мужской / Erkak,Upper Intermediate (выше среднего / oʻrtadan yuqori),Высшее / Oliy,Software Engineer,Middle,"PHP, Frontend Development (JavaScript, TypeScript), Web (HTML/CSS)",1-3,<1,Узбекистан / Oʻzbekiston,Outsourcing,до 50 человек / 50 kishigacha,в офисе / ofisda,Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi),в сумах / soʻmda,4000000,1500000,
2/11/2020 11:06:43,Ташкент / Toshkent shahri,26,Мужской / Erkak,Intermediate (средний / oʻrtacha),Высшее / Oliy,Software Engineer,Senior,Java/Scala,5-7,3-5,Узбекистан / Oʻzbekiston,Outsourcing,до 10 человек / 10 kishigacha,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi",в сумах / soʻmda,11000000,3000000,
